iter	Logloss
0	0.6893393662
1	0.6849973167
2	0.6812820036
3	0.6781472168
4	0.6750441284
5	0.6715919358
6	0.6678649721
7	0.6650108988
8	0.6614289636
9	0.6584489242
10	0.6550077095
11	0.6519487102
12	0.6482255969
13	0.6453876143
14	0.6430478643
15	0.6395100347
16	0.6366518712
17	0.6334999736
18	0.6308887122
19	0.6276523068
20	0.6244866647
21	0.62135129
22	0.617850731
23	0.6158070134
24	0.6125344198
25	0.609176922
26	0.606171015
27	0.6036345973
28	0.6004565929
29	0.5978530465
30	0.5948774418
31	0.5918120894
32	0.5890828108
33	0.5865292478
34	0.5843869728
35	0.5817301223
36	0.5794249313
37	0.5773932756
38	0.5743736424
39	0.5723185251
40	0.5698979273
41	0.5677263612
42	0.5662017311
43	0.5639237079
44	0.5617130754
45	0.5597360934
46	0.5574897596
47	0.5559460449
48	0.5536793474
49	0.5518681951
50	0.5494405978
51	0.5477478908
52	0.546396864
53	0.5438333331
54	0.5423434767
55	0.5401325889
56	0.5381737168
57	0.5362546744
58	0.5341307022
59	0.5323422484
60	0.5302911477
61	0.5288200635
62	0.5268567275
63	0.5256031386
64	0.5238038156
65	0.5219338548
66	0.5199791285
67	0.5182597594
68	0.5167385237
69	0.5153342227
70	0.5139656695
71	0.5122913579
72	0.510748862
73	0.5094742776
74	0.5079255129
75	0.5059104091
76	0.5045981932
77	0.5029053587
78	0.5015398184
79	0.5001612795
80	0.4984999057
81	0.4971804442
82	0.4958512399
83	0.4943095967
84	0.4926068604
85	0.4911201595
86	0.4897999295
87	0.4885685794
88	0.4871089539
89	0.4856989214
90	0.4848182543
91	0.4833469849
92	0.4818899916
93	0.4810314979
94	0.4795976186
95	0.4786855005
96	0.4772630454
97	0.476055857
98	0.4750055455
99	0.4742367101
100	0.4734914377
101	0.4723864491
102	0.4711562427
103	0.4701038004
104	0.4691802012
105	0.4679742608
106	0.4665572885
107	0.4649803692
108	0.4641133982
109	0.4628200028
110	0.462118799
111	0.461170232
112	0.4603267554
113	0.4593857172
114	0.458302464
115	0.4578315504
116	0.4570701839
117	0.4558276766
118	0.4548323202
119	0.4538271007
120	0.452635723
121	0.4512153286
122	0.45011759
123	0.4490582035
124	0.4480652033
125	0.4473624508
126	0.4461984248
127	0.4455471016
128	0.4443764381
129	0.4436146062
130	0.4427737534
131	0.4419498217
132	0.4408411636
133	0.439983521
134	0.4389605016
135	0.4380683889
136	0.437061014
137	0.4358156611
138	0.4350030945
139	0.4341558142
140	0.4335676902
141	0.432661767
142	0.4317874
143	0.4308949316
144	0.4300043057
145	0.429232668
146	0.4281549007
147	0.4273034883
148	0.4264154476
149	0.4257734163
150	0.4247178638
151	0.4237997758
152	0.4230622221
153	0.4221634279
154	0.4212611856
155	0.4207796172
156	0.4197676236
157	0.419258865
158	0.4185014241
159	0.4178413278
160	0.4171600867
161	0.4164895924
162	0.4159966151
163	0.4151873979
164	0.4144611153
165	0.4134620566
166	0.4127339332
167	0.411898587
168	0.4113307203
169	0.4108839863
170	0.4100658144
171	0.4093304277
172	0.4085491428
173	0.4079319127
174	0.4073123892
175	0.4066373538
176	0.4059733686
177	0.4053416074
178	0.4047592179
179	0.4042063421
180	0.4035920487
181	0.4026490517
182	0.402225503
183	0.4016695632
184	0.4012115174
185	0.4005715715
186	0.3999395549
187	0.3992509829
188	0.3983803928
189	0.3979475672
190	0.39720781
191	0.3966809192
192	0.3961487602
193	0.3956547471
194	0.3950315369
195	0.3942731433
196	0.3938208597
197	0.3928495174
198	0.3923838605
199	0.3917002723
200	0.3909433941
201	0.3904784641
202	0.389951835
203	0.3890949333
204	0.3884266439
205	0.3879549633
206	0.3871963939
207	0.3868371656
208	0.3862965462
209	0.3856503559
210	0.3850443482
211	0.3845753704
212	0.383815143
213	0.3832667426
214	0.3826508648
215	0.3820619803
216	0.3815624639
217	0.3811940247
218	0.3805457318
219	0.3801191945
220	0.3796450289
221	0.3790927726
222	0.378575025
223	0.3781388188
224	0.3776055175
225	0.3769884664
226	0.3760860518
227	0.3753335575
228	0.3746704729
229	0.3739459274
230	0.3736216243
231	0.3729343487
232	0.3724268799
233	0.3720348787
234	0.3716376529
235	0.3710971929
236	0.3706681026
237	0.3702111225
238	0.3695498613
239	0.3687990113
240	0.3684099251
241	0.3678554429
242	0.3672819262
243	0.3670488223
244	0.3666449359
245	0.3661475538
246	0.365858534
247	0.3655041311
248	0.3650033159
249	0.364476517
250	0.3640466439
251	0.3637236442
252	0.3631738632
253	0.3624491031
254	0.3619366548
255	0.3613583304
256	0.3609288387
257	0.360539642
258	0.3600220851
259	0.3596293946
260	0.3590161767
261	0.3586356461
262	0.358137738
263	0.3576686363
264	0.3571639299
265	0.3567664772
266	0.3562373207
267	0.3557936053
268	0.3554500306
269	0.3549932605
270	0.3546751919
271	0.3543401855
272	0.3538188387
273	0.3533347771
274	0.3528751689
275	0.3524301981
276	0.3518282516
277	0.3516063709
278	0.3511335321
279	0.3506881383
280	0.3503286756
281	0.3498198776
282	0.3494389829
283	0.3489633938
284	0.3485888691
285	0.3482200867
286	0.3479631242
287	0.3475048019
288	0.3470688745
289	0.3466262477
290	0.3462482903
291	0.3458482883
292	0.3454920393
293	0.3449938076
294	0.3445568817
295	0.3442768056
296	0.3440906617
297	0.3437219936
298	0.3431028858
299	0.3424593575
300	0.342253722
301	0.3419274438
302	0.3416218299
303	0.3410084485
304	0.3406320818
305	0.3400601975
306	0.3394948511
307	0.3390289221
308	0.338674366
309	0.3382007961
310	0.3378495001
311	0.337545122
312	0.3370310554
313	0.3367428066
314	0.3363932069
315	0.3359507539
316	0.335585154
317	0.3351866584
318	0.3348629995
319	0.3343054092
320	0.3340802704
321	0.3336277812
322	0.3330238729
323	0.3325295846
324	0.331929454
325	0.3316520697
326	0.3310938779
327	0.3307102759
328	0.3301691227
329	0.3297776676
330	0.3294991237
331	0.329307194
332	0.3288975649
333	0.3286173548
334	0.3282073023
335	0.3278379632
336	0.3273692989
337	0.3269553934
338	0.3266851638
339	0.3260717681
340	0.3257402881
341	0.3253898613
342	0.3251078346
343	0.3246728434
344	0.3244571311
345	0.3241393863
346	0.3236961331
347	0.3232285837
348	0.3228769984
349	0.3227042576
350	0.3225012295
351	0.3221730955
352	0.3218832331
353	0.3215542871
354	0.3211608574
355	0.3209663362
356	0.3206555343
357	0.3202703246
358	0.3200690184
359	0.3197673816
360	0.319392382
361	0.3190415657
362	0.3184934254
363	0.3182753119
364	0.3179757195
365	0.3177827701
366	0.3173462764
367	0.3170512199
368	0.3167625324
369	0.3165688113
370	0.3161741999
371	0.3156527859
372	0.3153795714
373	0.3150361507
374	0.3146976821
375	0.3144785491
376	0.3142635557
377	0.3138377604
378	0.3136245262
379	0.3132575082
380	0.3128552901
381	0.3125626819
382	0.312253665
383	0.3120746648
384	0.3116983226
385	0.3114074424
386	0.3110028297
387	0.3106582781
388	0.31042179
389	0.3102061099
390	0.3099375028
391	0.3096051049
392	0.3092954621
393	0.3089979666
394	0.308622295
395	0.3082954581
396	0.3079692903
397	0.3076633155
398	0.3073935553
399	0.3071865169
400	0.3069393942
401	0.3067521456
402	0.3063642289
403	0.3060944608
404	0.3057524534
405	0.3053301023
