iter	RMSE
0	689.4458687
1	654.2939858
2	628.5264348
3	597.4466171
4	571.8913065
5	549.9657559
6	531.7808747
7	511.8682376
8	494.9333373
9	477.8123569
10	462.1958263
11	448.2957029
12	437.3128851
13	427.2470654
14	415.695954
15	403.1014639
16	394.2450161
17	383.7818422
18	377.214804
19	367.5933903
20	359.1812629
21	351.0083115
22	344.7520243
23	337.1312551
24	331.2449934
25	325.2837941
26	320.1004525
27	313.4224873
28	307.9240657
29	302.709279
30	299.0851719
31	295.3347652
32	291.6905439
33	288.1660301
34	284.7532582
35	280.602783
36	276.9705299
37	274.1522228
38	272.2165796
39	269.2906801
40	266.4225276
41	263.7126264
42	261.5934806
43	259.4260442
44	258.4203468
45	256.0838834
46	254.4962234
47	252.8635512
48	250.8030872
49	249.2244765
50	247.0322683
51	245.4870093
52	243.1792896
53	241.0815494
54	239.3913726
55	237.6608589
56	235.0905168
57	233.7533994
58	231.6553385
59	229.9182072
60	229.0394351
61	227.2555282
62	225.9225053
63	224.8755142
64	223.707045
65	222.3266648
66	220.7861071
67	218.6026432
68	217.4085653
69	216.6470316
70	216.1154585
71	213.9950754
72	213.3654875
73	211.7811657
74	210.3306872
75	208.5072346
76	207.5841608
77	206.6555593
78	205.3933934
79	204.2750968
80	202.7496453
81	201.2608153
82	200.5051394
83	198.8690216
84	197.7937319
85	196.6721026
86	195.780593
87	194.9367214
88	193.7941542
89	192.3975294
90	191.7286287
91	190.8031503
92	189.9415268
93	189.1041716
94	188.2674254
95	187.6065803
96	186.0884489
97	185.3361791
98	184.0789991
99	183.0976654
100	182.1835135
101	180.8559535
102	180.225221
103	179.4780794
104	178.7468304
105	177.6844361
106	177.2889023
107	176.3545613
108	175.4729697
109	174.510719
110	174.0078922
111	173.0745454
112	172.3712754
113	171.6905381
114	170.658966
115	170.1495457
116	168.938304
117	168.4252024
118	167.2208804
119	166.8304228
120	166.2604929
121	165.7741267
122	165.0756687
123	164.5834499
124	163.866746
125	163.0580448
126	162.4382862
127	161.9546268
128	161.4876062
129	161.1563386
130	160.8250523
131	160.2307354
132	159.9728805
133	159.1243745
134	158.6902088
135	158.3760696
136	158.0106281
137	157.4501017
138	156.8962644
139	156.3674349
140	155.6500514
141	155.0757272
142	154.6674333
143	154.1028153
144	153.3580872
145	152.5314182
146	151.7957149
147	150.8251205
148	150.3166678
149	149.8855257
150	149.6026033
151	149.1530639
152	148.7089006
153	148.3176869
154	147.604873
155	147.0170533
156	146.6867859
157	146.2074587
158	145.9405492
159	145.6863982
160	145.0806857
161	144.5259284
162	144.3499661
163	143.6804026
164	143.4763353
165	143.1635281
166	143.0453745
167	142.789847
168	142.5875312
169	142.4018496
170	142.1804779
171	141.9658621
172	141.7518188
173	141.4861999
174	141.2440201
175	140.712214
176	140.0850421
177	139.7338106
178	139.4168207
179	138.9625494
180	138.5725739
181	138.123256
182	137.9161592
183	137.398675
184	137.1938474
185	136.5206955
186	136.172766
187	135.6877407
188	135.3870966
189	134.9324765
190	134.6807029
191	134.5028068
192	134.1504948
193	133.936157
194	133.467358
195	133.1627435
196	132.8335993
197	132.4019783
198	132.2570174
199	131.9875241
200	131.5429436
201	131.3362291
202	131.238954
203	131.1350791
204	130.7727655
205	130.4925975
206	129.9685788
207	129.7520954
208	129.6555052
209	129.4537939
210	129.039051
211	128.8353644
212	128.399385
213	127.6299512
214	127.5052675
215	127.2718048
216	126.8698645
217	126.5988635
218	126.4349057
219	126.2325525
220	125.9403441
221	125.631058
222	125.2583067
223	125.0017418
224	124.6163494
225	124.3424659
226	124.2288997
227	123.9421099
228	123.519272
229	123.3120863
230	123.0974185
231	122.9439785
232	122.5026162
233	122.1093549
234	121.7841259
235	121.5863872
